dealer,dealer_city,is_motus_group,dealer_group
Motus Chery Germiston,Germiston,Yes,Chery
Renault Northcliff - 70045,Northcliff,No,Renault
Durban Multifranchise - 70111,Durban,No,General
Lindsay Saker VW Germiston,Germiston,No,VW
Durban Multifranchise - 70111,Durban,No,General
Hyundai Menlyn,Menlyn,No,Hyundai
Renault Northcliff - 70045,Northcliff,No,Renault
Alberton Multifranchise -70051,Alberton,No,General
Motus Toyota Cape Gate,Gate,Yes,Toyota
Motus Chery Polokwane,Polokwane,Yes,Chery
Table View Multifranchise - 70138,Table View,No,General
Renault Northcliff - 70045,Northcliff,No,Renault
Kia Vereeniging,Vereeniging,No,Kia
Nelspruit Multifranchise - 70024,Nelspruit,No,General
Nelspruit Multifranchise - 70024,Nelspruit,No,General
Nelspruit Multifranchise - 70024,Nelspruit,No,General
Nelspruit Multifranchise - 70024,Nelspruit,No,General
Hyundai Menlyn,Menlyn,No,Hyundai
Lindsay Saker VW Germiston,Germiston,No,VW
Cargo Motors Rustenburg,Rustenburg,No,Mercedes-Benz
Kia Bloemfontein,Bloemfontein,No,Kia
Cape Town Multifranchise - 70109,Cape Town,No,General
Motus Toyota & Lexus Nelspruit,Nelspruit,Yes,Toyota
Mercedes-Benz Westrand (Constantia Kloof),Kloof),No,Mercedes-Benz
Renault Bryanston - 70001,Bryanston,No,Renault
Motus Renault Tygervalley - 70164,Tygervalley,Yes,Renault
Motus Toyota Bryanston,Bryanston,Yes,Toyota
Motus Renault Bryanston Virtual,Virtual,Yes,Renault
Renault Northcliff - 70045,Northcliff,No,Renault
Motus Renault Menlyn - 70114,Menlyn,Yes,Renault
Fourways Multifranchise - 70142,Fourways,No,General
Lindsay Saker VW Welkom,Welkom,No,VW
Renault Northcliff - 70045,Northcliff,No,Renault
Renault Pinetown - 70050,Pinetown,No,Renault
Motus Toyota Parktown,Parktown,Yes,Toyota
Motus Toyota Parktown,Parktown,Yes,Toyota
Renault Pinetown - 70050,Pinetown,No,Renault
Motus Toyota & Lexus Nelspruit,Nelspruit,Yes,Toyota
Table View Multifranchise - 70138,Table View,No,General
East Rand Multifranchise - 70043,East Rand,No,General
Motus Toyota Kempton Park,Park,Yes,Toyota
Kia Vereeniging,Vereeniging,No,Kia
Motus Toyota Bedfordview,Bedfordview,Yes,Toyota
Renault Northcliff - 70045,Northcliff,No,Renault
Motus Chery Germiston,Germiston,Yes,Chery
Alberton Multifranchise -70051,Alberton,No,General
Table View Multifranchise - 70138,Table View,No,General
Durban Multifranchise - 70111,Durban,No,General
Renault Northcliff - 70045,Northcliff,No,Renault
Durban Multifranchise - 70111,Durban,No,General
Lindsay Saker VW Kempton Park,Park,No,VW
Motus Toyota Bryanston,Bryanston,Yes,Toyota
Durban Multifranchise - 70111,Durban,No,General
Motus Nissan Centurion,Centurion,Yes,Nissan
Durban Multifranchise - 70111,Durban,No,General
Roodepoort Multifranchise - 70082,Roodepoort,No,General
Motus Renault Vereeniging - 70202,Vereeniging,Yes,Renault
Durban Multifranchise - 70111,Durban,No,General
Motus Renault Zambezi - 70158,Zambezi,Yes,Renault
Fourways Multifranchise - 70142,Fourways,No,General
Motus Toyota Parktown,Parktown,Yes,Toyota
Renault Northcliff - 70045,Northcliff,No,Renault
Motus Toyota Cape Gate,Gate,Yes,Toyota
Motus Mazda George,George,Yes,Mazda
Polokwane Multifranchise,Polokwane,No,General
Table View Multifranchise - 70138,Table View,No,General
Fourways Multifranchise - 70142,Fourways,No,General
Lindsay Saker VW Alberton,Alberton,No,VW
Alberton Multifranchise -70051,Alberton,No,General
Kia Menlyn,Menlyn,No,Kia
Table View Multifranchise - 70138,Table View,No,General
Table View Multifranchise - 70138,Table View,No,General
Motus Renault Vereeniging - 70202,Vereeniging,Yes,Renault
Renault Bryanston - 70001,Bryanston,No,Renault
Polokwane Multifranchise,Polokwane,No,General
Alberton Multifranchise -70051,Alberton,No,General
