iter	Logloss
0	0.6905972333
1	0.6894196665
2	0.6860268886
3	0.6829767221
4	0.6811640571
5	0.6792672831
6	0.6783981295
7	0.6765808039
8	0.6740577044
9	0.6720948925
10	0.6703026647
11	0.6687401376
12	0.6672412851
13	0.6663556406
14	0.6646688505
15	0.6637837433
16	0.6627635766
17	0.6620531123
18	0.660933388
19	0.6600862616
20	0.6589655108
21	0.6577474619
22	0.6568829575
23	0.656271341
24	0.6556464437
25	0.6545554185
26	0.6536282576
27	0.6529820906
28	0.6522719708
29	0.6515930822
30	0.6512681026
31	0.6510670194
32	0.6503803535
33	0.6503064464
34	0.6497741794
35	0.6493492916
36	0.6484587851
37	0.6480517253
38	0.6476670301
39	0.6471257787
40	0.6470180788
41	0.6465542589
42	0.6461869555
43	0.6459789721
44	0.645841719
45	0.645772096
46	0.6452976774
47	0.6451334983
48	0.644701298
49	0.64434424
50	0.6440276809
51	0.6435023122
52	0.6431362938
53	0.6427096451
54	0.6423283036
55	0.6420788246
56	0.6417957669
57	0.641394408
58	0.6412673004
59	0.6411140963
60	0.6410114323
61	0.6404985957
62	0.6403074217
63	0.6401515623
64	0.6397442948
65	0.6396691917
66	0.6394273156
67	0.639245176
68	0.6391862378
69	0.6390904252
70	0.6388514631
71	0.6386178168
72	0.6380627427
73	0.6378157746
74	0.6378056772
75	0.6375226168
76	0.6373495814
77	0.6371746982
78	0.636847888
79	0.6366020866
80	0.6363915404
81	0.6363595444
82	0.6362592923
83	0.6360329617
84	0.6359986508
85	0.6359934567
86	0.6359003047
87	0.6355836167
88	0.6349098905
89	0.6348509
90	0.6347344378
91	0.6346814032
92	0.6346276649
93	0.6343551102
94	0.6339982849
95	0.6338911936
96	0.6337165046
97	0.6334461811
98	0.6331460936
99	0.6328585948
100	0.632552716
101	0.6324789456
102	0.6323811203
103	0.6322020368
104	0.631997545
105	0.6316722429
106	0.6312624086
107	0.6310952355
108	0.6309232014
109	0.6305614767
110	0.6304423627
111	0.629991382
112	0.6297236619
113	0.6294354109
114	0.6293606295
115	0.629268234
116	0.6291457124
117	0.628917604
118	0.6286925317
119	0.6284423866
120	0.6284250558
121	0.6283042226
122	0.6282246219
123	0.6279204937
124	0.6274586036
125	0.6273080213
126	0.6273019195
127	0.627069812
128	0.6268150819
129	0.6266983294
130	0.626590113
131	0.626508199
132	0.6265081672
133	0.6263086532
134	0.626169709
135	0.6259487495
136	0.6258157427
137	0.6257879633
138	0.6257129962
139	0.625414928
140	0.6252959687
141	0.625106712
142	0.6249879315
143	0.6249179589
144	0.6248473716
145	0.6248473691
146	0.6247498568
147	0.6246519314
148	0.6244280308
149	0.6242590469
150	0.6242159097
151	0.6239014674
152	0.6238884182
153	0.623716948
154	0.6236033202
155	0.6234691266
156	0.6233038981
157	0.622794004
158	0.6227369448
159	0.6225185645
160	0.6225144893
161	0.6224991368
162	0.6223727565
163	0.6221430478
164	0.6220414625
165	0.6219301708
166	0.6217824001
167	0.6216250102
168	0.6214360931
169	0.6207668953
170	0.6207386017
171	0.6206457917
172	0.6206316144
173	0.6206238709
174	0.6204318156
175	0.6201150122
176	0.6196709597
177	0.6193692314
178	0.6193690876
179	0.6191446976
180	0.6191242971
181	0.6189740085
182	0.6189310991
183	0.6185198395
184	0.6184615641
185	0.6183733449
186	0.6183615436
187	0.6182091943
188	0.6181856282
189	0.6179851086
190	0.6179728377
191	0.6179079606
192	0.6178893059
193	0.6178467189
194	0.6177545953
195	0.6176114519
196	0.6174890405
197	0.6174825881
198	0.6171339567
199	0.6171339537
200	0.6171086304
201	0.6170924391
202	0.617079962
203	0.616547622
204	0.6164240605
205	0.6162311937
206	0.6159470173
207	0.6157712833
208	0.6154135353
209	0.6151082667
210	0.6149585831
211	0.6147554843
212	0.6146689391
213	0.614395873
214	0.6142911755
215	0.6140455219
216	0.6139808267
217	0.6138141175
218	0.6136462433
219	0.6133844628
220	0.61328266
221	0.6132023288
222	0.6131748438
223	0.6127977199
224	0.6124307345
225	0.612129618
226	0.6118188276
227	0.6116332283
228	0.6113107718
229	0.6110481247
230	0.6105677593
231	0.6105229368
232	0.6104037063
233	0.6103499529
234	0.6100129095
235	0.6097176653
236	0.6091176296
237	0.6089337502
238	0.6086754217
239	0.6084064992
240	0.6080991046
241	0.6078963026
242	0.6077760761
243	0.6076129804
244	0.6073987627
245	0.6070520142
246	0.6065146663
247	0.606094808
248	0.6059282854
249	0.6055289342
250	0.6051904883
251	0.6048725459
252	0.6045843772
253	0.6039276843
254	0.6036173461
255	0.60332441
256	0.6031036026
257	0.6026552646
258	0.6022453014
259	0.6019081664
260	0.6015695468
261	0.6013648008
262	0.6011173406
263	0.6008942737
264	0.6006805578
265	0.6004256208
266	0.600057396
267	0.5996663415
268	0.5994335258
269	0.5988261772
270	0.5984813411
271	0.5980891697
272	0.597728714
273	0.5974370567
274	0.5970920548
275	0.5967424266
276	0.5964279847
277	0.5961862003
278	0.5959185
279	0.5955167355
280	0.5949244385
281	0.5945596364
282	0.5941865812
283	0.5937720633
284	0.5936704518
285	0.5934387318
286	0.5931771121
287	0.592648965
288	0.5921452853
289	0.5919925016
290	0.5918292101
291	0.5915534722
292	0.5913772573
293	0.5911317643
294	0.590958115
295	0.5906441363
