iter	Passed	Remaining
0	113	113369
1	197	98472
2	313	104325
3	484	120722
4	604	120214
5	719	119140
6	843	119699
7	986	122273
8	1103	121552
9	1227	121483
10	1373	123486
11	1487	122447
12	1596	121227
13	1679	118319
14	1786	117281
15	1884	115868
16	1974	114147
17	2083	113639
18	2197	113459
19	2303	112861
20	2415	112604
21	2526	112295
22	2640	112165
23	2719	110603
24	2807	109479
25	2913	109130
26	3009	108446
27	3125	108499
28	3235	108343
29	3343	108090
30	3428	107181
31	3523	106596
32	3647	106874
33	3689	104829
34	3793	104597
35	3892	104241
36	4013	104459
37	4129	104548
38	4225	104120
39	4322	103749
40	4375	102344
41	4484	102286
42	4755	105834
43	4906	106596
44	4961	105300
45	5000	103700
46	5122	103868
47	5206	103258
48	5324	103339
49	5434	103249
50	5550	103276
51	5667	103316
52	5768	103073
53	5876	102944
54	5976	102692
55	6083	102545
56	6194	102475
57	6318	102620
58	6375	101678
59	6503	101893
60	6669	102659
61	6785	102665
62	6900	102628
63	7011	102540
64	7119	102404
65	7161	101342
66	7251	100977
67	7321	100348
68	7360	99319
69	7412	98479
70	7518	98370
71	7626	98293
72	7727	98125
73	7832	98013
74	7867	97028
75	7969	96894
76	8049	96487
77	8151	96356
78	8256	96256
79	8364	96189
80	8460	95994
81	8498	95147
82	8567	94659
83	8691	94777
84	8744	94127
85	8785	93367
86	8878	93175
87	8992	93198
88	9112	93271
89	9156	92577
90	9241	92312
91	9307	91862
92	9368	91371
93	9507	91631
94	9664	92062
95	9751	91824
96	9878	91957
97	10034	92360
98	10183	92680
99	10320	92888
100	10479	93278
101	10672	93960
102	10780	93884
103	10926	94134
104	11071	94372
105	11205	94510
106	11357	94789
107	11495	94944
108	11659	95304
109	11798	95462
110	11933	95576
111	12080	95778
112	12216	95895
113	12358	96052
114	12450	95814
115	12560	95716
116	12713	95947
117	12848	96038
118	12978	96082
119	13102	96085
120	13146	95503
121	13272	95515
122	13408	95605
123	13555	95760
124	13711	95980
125	13860	96141
126	13936	95800
127	14077	95904
128	14222	96032
129	14369	96168
130	14494	96148
131	14607	96055
132	14636	95412
133	14785	95555
134	14916	95578
135	15061	95684
136	15205	95784
137	15301	95578
138	15441	95650
139	15597	95811
140	15743	95914
141	15873	95913
142	15992	95840
143	16113	95785
144	16243	95778
145	16272	95183
146	16420	95284
147	16549	95268
148	16692	95339
149	16825	95341
150	16948	95291
151	17093	95363
152	17145	94917
153	17277	94914
154	17392	94818
155	17531	94851
156	17671	94883
157	17823	94981
158	17966	95027
159	18110	95080
160	18157	94620
161	18289	94606
162	18405	94510
163	18529	94457
164	18672	94495
165	18807	94492
166	18951	94529
167	19089	94536
168	19224	94530
169	19372	94583
170	19459	94339
171	19600	94355
172	19652	93946
173	19723	93631
174	19849	93575
175	19956	93434
176	20093	93427
177	20224	93398
178	20273	92987
179	20406	92962
180	20454	92554
181	20603	92602
182	20723	92519
183	20861	92517
184	20994	92491
185	21133	92488
186	21275	92498
187	21430	92562
188	21558	92508
189	21709	92549
190	21760	92168
191	21901	92169
192	21967	91854
193	22066	91679
194	22208	91679
195	22355	91704
196	22503	91729
197	22560	91381
198	22712	91419
199	22741	90967
200	22835	90773
201	22913	90519
202	22969	90181
203	23106	90162
204	23249	90161
205	23374	90094
206	23510	90068
207	23665	90110
208	23808	90106
209	23938	90055
210	24071	90010
211	24197	89943
212	24326	89880
213	24465	89860
214	24627	89919
215	24777	89932
216	24929	89952
217	25060	89894
218	25200	89869
219	25342	89849
220	25490	89849
221	25629	89817
222	25701	89550
223	25841	89523
224	25964	89432
225	26102	89395
226	26249	89388
227	26398	89383
228	26533	89332
229	26690	89356
230	26831	89323
231	26916	89101
232	27053	89055
233	27193	89017
234	27323	88947
235	27458	88892
236	27833	89607
237	28014	89693
238	28163	89675
239	28314	89661
240	28471	89667
241	28640	89708
242	28796	89708
243	28950	89700
244	29117	89729
245	29269	89711
246	29442	89759
247	29617	89808
248	29763	89768
249	29924	89773
250	30073	89741
251	30229	89727
252	30381	89702
253	30524	89649
254	30709	89718
255	30858	89683
256	31005	89637
257	31144	89569
258	31297	89542
259	31438	89477
260	31589	89442
261	31744	89417
262	31882	89345
263	32015	89255
264	32146	89161
265	32278	89068
266	32413	88985
267	32552	88912
268	32699	88859
269	32839	88788
270	32949	88635
271	33084	88549
272	33220	88467
273	33357	88384
274	33489	88290
275	33630	88219
276	33776	88159
277	33910	88070
278	34061	88022
279	34193	87926
280	34334	87851
281	34472	87770
282	34617	87706
283	34764	87646
284	34888	87526
285	35031	87455
286	35162	87354
287	35293	87253
288	35434	87175
289	35582	87114
290	35725	87042
291	35864	86958
292	35996	86859
293	36127	86755
294	36264	86667
295	36400	86575
