clean_interestmake,interest_models
abarth,"['ABARTH 124 1.4T SPIDER', '595 1.4T Competzione', '500', '500 595 competizione 1.4T']"
adly,['GOLDA GK 125']
adreno,['300 LT RACING']
alfa romeo,"['GTV 2.0 TS', 'GIULIA 2.0T VELOCE', 'GIULIA', 'Tonale', 'TONALE TI 1.5T HYBRID']"
amc,"['894 EVOLUTION 6 SPEED F/C C/C', '494 F/C C/C']"
aprilia,"['RSV4 RR', 'CAPONORD RALLY 1200', 'CAPONORD 1200', 'RSV4 1100 FACTORY']"
arctic cat,"['250', 'THUNDERCAT 1000 H2 AUTO', '400 4X4 A/T', '250 DVX']"
arora,['XL-D105B']
ashok leyland,"['1518 F/C C/C', 'PARTNER 3.0 DDTi F/C C/C', 'DOST 1.5 TD FSD S/C P/U', '812 MINI BUS B/S B/S', 'PARTNER 3.0 DDTi F/C D/S', '12M FE BUS B/S B/S', 'CARGO 90.12 F/C C/C']"
asia wing,"['GY 200', 'ATV 125-2', 'CG 125']"
aston martin,['DBS 5.2 V12 SUPERLEGGERA VOLANTE']
